Experiment	Z spectroscopy	
Saved Date	16.02.2019 17:38:38	
User		
X (m)	75.834E-9	
Y (m)	15.3776E-9	
Z (m)	-16.9806E-9	
Z offset (m)	700E-12	
Z sweep distance (m)	1.12E-9	
Settling time (s)	10E-3	
Integration time (s)	60E-3	
Final Z (m)	N/A	
Start time	16.02.2019 17:37:03	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)
700.00000E-12	-229.11518E-15	0.0000000E+0	-16.280579E-9	2.3018267E+0	45.633702E-12	243.75831E-3	172.85121E-6	-214.49232E-15	0.0000000E+0	-16.280579E-9	2.0505607E+0	49.077284E-12	226.09979E-3	216.46898E-6
697.75552E-12	-231.44678E-15	0.0000000E+0	-16.282824E-9	551.63568E-3	34.845134E-12	144.04985E-3	332.87541E-6	-213.04876E-15	0.0000000E+0	-16.282824E-9	-1.0709878E+0	49.649146E-12	-99.094033E-3	206.11774E-6
695.51104E-12	-229.50655E-15	0.0000000E+0	-16.285068E-9	-1.4254475E+0	42.924896E-12	-66.485465E-3	288.74332E-6	-221.11985E-15	0.0000000E+0	-16.285068E-9	624.02850E-3	51.157339E-12	104.57359E-3	188.31417E-6
693.26656E-12	-242.71633E-15	0.0000000E+0	-16.287313E-9	-2.6413729E+0	56.625097E-12	-218.95894E-3	135.43302E-6	-223.51108E-15	0.0000000E+0	-16.287313E-9	-1.8107978E+0	48.318773E-12	-148.28363E-3	221.85926E-6
691.02207E-12	-211.55742E-15	0.0000000E+0	-16.289556E-9	485.54751E-3	53.803018E-12	50.375272E-3	145.85265E-6	-221.28061E-15	0.0000000E+0	-16.289556E-9	-1.8405082E+0	48.789878E-12	-76.131314E-3	206.91949E-6
688.77754E-12	-246.07895E-15	0.0000000E+0	-16.291802E-9	1.6345934E+0	49.208946E-12	155.26129E-3	190.14475E-6	-248.72446E-15	0.0000000E+0	-16.291802E-9	4.2828450E+0	49.090787E-12	454.82650E-3	199.33192E-6
686.53305E-12	-252.73398E-15	0.0000000E+0	-16.294045E-9	229.15815E-3	50.265587E-12	89.151427E-3	185.30172E-6	-255.81273E-15	0.0000000E+0	-16.294045E-9	1.6228553E+0	49.419413E-12	176.63331E-3	200.69607E-6
684.28857E-12	-239.75011E-15	0.0000000E+0	-16.296291E-9	-892.07858E-3	50.115662E-12	-15.529496E-3	177.59908E-6	-242.56443E-15	0.0000000E+0	-16.296291E-9	2.4142587E+0	53.264244E-12	164.37916E-3	157.99924E-6
682.04409E-12	-231.55805E-15	0.0000000E+0	-16.298534E-9	2.9085586E+0	48.112254E-12	344.67962E-3	203.48569E-6	-227.86964E-15	0.0000000E+0	-16.298534E-9	-4.7355967E+0	48.441938E-12	-460.75371E-3	213.58333E-6
679.79961E-12	-216.40463E-15	0.0000000E+0	-16.300779E-9	-1.1539483E+0	53.126854E-12	21.388656E-3	145.69692E-6	-254.70216E-15	0.0000000E+0	-16.300779E-9	-709.69296E-3	44.741221E-12	-27.455149E-3	240.05084E-6
677.55512E-12	-236.88969E-15	0.0000000E+0	-16.303023E-9	2.4662941E+0	49.905538E-12	377.67294E-3	173.97504E-6	-237.93554E-15	0.0000000E+0	-16.303023E-9	263.16017E-3	53.326763E-12	61.332498E-3	146.32569E-6
675.31064E-12	-236.55375E-15	0.0000000E+0	-16.305268E-9	-2.2260582E+0	47.300060E-12	-73.502883E-3	206.65560E-6	-236.90704E-15	0.0000000E+0	-16.305268E-9	-388.98531E-3	51.916953E-12	-9.8674903E-3	171.89070E-6
673.06616E-12	-240.76086E-15	0.0000000E+0	-16.307512E-9	-3.7984743E+0	47.473608E-12	-263.36402E-3	215.66072E-6	-230.18599E-15	0.0000000E+0	-16.307512E-9	1.1677409E+0	49.383442E-12	156.15956E-3	200.11562E-6
670.82162E-12	-227.81465E-15	0.0000000E+0	-16.309757E-9	2.3951426E+0	55.004362E-12	274.91349E-3	130.11449E-6	-237.37495E-15	0.0000000E+0	-16.309757E-9	-1.2415872E+0	47.589745E-12	-62.666818E-3	216.00086E-6
668.57714E-12	-241.99498E-15	0.0000000E+0	-16.312001E-9	-615.22484E-3	56.187117E-12	55.384587E-3	95.274620E-6	-227.03237E-15	0.0000000E+0	-16.312001E-9	-444.16866E-3	44.627000E-12	10.846966E-3	233.19994E-6
666.33266E-12	-233.67343E-15	0.0000000E+0	-16.314246E-9	-1.8302947E+0	49.987337E-12	-83.386004E-3	149.72569E-6	-213.85262E-15	0.0000000E+0	-16.314246E-9	-2.0080764E+0	42.358742E-12	-70.273928E-3	232.89511E-6
664.08817E-12	-224.78877E-15	0.0000000E+0	-16.316491E-9	-175.29246E-3	46.514102E-12	33.460867E-3	192.46136E-6	-225.79952E-15	0.0000000E+0	-16.316491E-9	1.8217047E+0	51.278232E-12	255.21481E-3	124.39270E-6
661.84369E-12	-234.74213E-15	0.0000000E+0	-16.318735E-9	-2.1233680E+0	44.506072E-12	-215.87278E-3	235.67452E-6	-242.66895E-15	0.0000000E+0	-16.318735E-9	867.63871E-3	50.706508E-12	128.62906E-3	131.36247E-6
659.59921E-12	-223.41462E-15	0.0000000E+0	-16.320980E-9	-1.1543895E+0	52.073870E-12	-185.36754E-3	160.14148E-6	-252.51611E-15	0.0000000E+0	-16.320980E-9	-242.19866E-3	48.024494E-12	47.914729E-3	160.83808E-6
657.35473E-12	-231.70105E-15	0.0000000E+0	-16.323224E-9	-314.99997E-3	53.054405E-12	-69.045931E-3	135.70867E-6	-251.02349E-15	0.0000000E+0	-16.323224E-9	-2.4978561E+0	46.486648E-12	-109.64448E-3	164.02329E-6
655.11024E-12	-246.48808E-15	0.0000000E+0	-16.325469E-9	1.6357346E+0	52.642050E-12	95.646270E-3	132.58484E-6	-238.43476E-15	0.0000000E+0	-16.325469E-9	-3.3112330E+0	52.008887E-12	-80.785282E-3	106.34962E-6
652.86576E-12	-237.24168E-15	0.0000000E+0	-16.327713E-9	4.7248726E+0	45.749984E-12	503.73894E-3	210.25946E-6	-230.03241E-15	0.0000000E+0	-16.327713E-9	3.8384016E+0	50.707823E-12	573.11487E-3	126.81958E-6
650.62122E-12	-224.95632E-15	0.0000000E+0	-16.329958E-9	-1.8408886E+0	46.400481E-12	-97.729027E-3	220.32771E-6	-228.48184E-15	0.0000000E+0	-16.329958E-9	4.3986764E+0	55.357652E-12	504.85319E-3	78.909405E-6
648.37674E-12	-246.00789E-15	0.0000000E+0	-16.332201E-9	698.04412E-3	54.858118E-12	114.58898E-3	124.30418E-6	-238.25411E-15	0.0000000E+0	-16.332201E-9	776.25680E-3	50.881677E-12	51.047888E-3	143.50745E-6
646.13226E-12	-223.59274E-15	0.0000000E+0	-16.334447E-9	4.0674796E+0	48.635259E-12	509.51993E-3	187.07180E-6	-226.99895E-15	0.0000000E+0	-16.334447E-9	9.6688805E+0	58.177869E-12	710.49958E-3	74.818818E-6
643.88778E-12	-226.04024E-15	0.0000000E+0	-16.336690E-9	285.83786E-3	53.270294E-12	219.06188E-3	129.89788E-6	-224.75409E-15	0.0000000E+0	-16.336690E-9	-3.5222421E+0	57.215677E-12	-591.64900E-3	119.23946E-6
641.64329E-12	-220.85288E-15	0.0000000E+0	-16.338936E-9	3.3935556E+0	53.825323E-12	544.66039E-3	111.07125E-6	-246.27230E-15	0.0000000E+0	-16.338936E-9	-6.9049273E+0	54.528958E-12	-708.70072E-3	168.57129E-6
639.39881E-12	-237.71341E-15	0.0000000E+0	-16.341179E-9	-3.4665239E+0	49.979913E-12	-52.821353E-3	144.71100E-6	-248.92881E-15	0.0000000E+0	-16.341179E-9	-434.95610E-3	45.312719E-12	-53.945247E-3	272.00158E-6
